language,label_distribution,conf_mean,conf_std,conf_min,conf_max
as,"{'Positive': 4, 'Negative': 4}",0.9998663812875748,0.00036971461204823923,0.9989515542984009,1.0
bd,"{'Positive': 6, 'Negative': 2}",0.9539971426129341,0.05716889185159418,0.8405863642692566,0.9990836381912231
bn,"{'Negative': 4, 'Positive': 3}",0.9988214543887547,0.00307005273954559,0.991859495639801,0.9999998807907104
gu,"{'Positive': 5, 'Negative': 3}",0.9713725000619888,0.08090013999741215,0.7711548805236816,0.9999997615814209
hi,"{'Positive': 4, 'Negative': 4}",0.9894679188728333,0.029475315520838624,0.9165214896202087,0.9999909400939941
kn,"{'Positive': 4, 'Negative': 3}",0.9368306313242231,0.10699832592943982,0.7428649663925171,1.0
ml,"{'Negative': 5, 'Positive': 3}",0.9920222461223602,0.022550673209233194,0.9362121820449829,1.0
mr,"{'Negative': 5, 'Positive': 2}",0.9421851634979248,0.1527734379182572,0.5957277417182922,1.0
or,"{'Positive': 4, 'Negative': 4}",0.9984500408172607,0.004362623177407055,0.9876531362533569,1.0
pa,"{'Positive': 4, 'Negative': 4}",0.9949930757284164,0.014123505892348344,0.9600392580032349,1.0
ta,"{'Positive': 4, 'Negative': 4}",0.9942408055067062,0.008996933200420743,0.9756466746330261,1.0
te,"{'Negative': 4, 'Positive': 4}",0.9999957531690598,7.823290060514762e-06,0.999977707862854,1.0
ur,"{'Negative': 4, 'Positive': 3}",0.9557861004556928,0.11632266673522489,0.6919918656349182,1.0
